Distrito,Concelho,Freguesia,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Guarda,Trancoso,Trancoso (São Pedro e Santa Maria) e Souto Maior,PS,"42,14%",705,PPD/PSD,"36,34%",608,CH,"7,41%",124,B.E.,"3,23%",54,IL,"2,75%",46,CDS-PP,"2,27%",38,PCP-PEV,"1,26%",21,L,"0,84%",14,R.I.R.,"0,66%",11,PAN,"0,36%",6,VP,"0,18%",3,MPT,"0,12%",2,MAS,"0,06%",1,E,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,55%",26,NULOS,"0,84%",14,,,,,,,,,,,,,,,
Guarda,Trancoso,Valdujo,PS,"53,06%",52,PPD/PSD,"25,51%",25,CH,"8,16%",8,CDS-PP,"4,08%",4,PCP-PEV,"4,08%",4,B.E.,"1,02%",1,E,"1,02%",1,PAN,"1,02%",1,PTP,"1,02%",1,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"1,02%",1,,,,,,,,,,,,,,,
Guarda,Trancoso,Vale do Seixo e Vila Garcia,PS,"55,65%",69,PPD/PSD,"26,61%",33,CH,"8,06%",10,CDS-PP,"3,23%",4,B.E.,"1,61%",2,IL,"1,61%",2,PCP-PEV,"0,81%",1,PTP,"0,81%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"1,61%",2,,,,,,,,,,,,,,,
Guarda,Trancoso,Vila Franca das Naves e Feital,PS,"43,90%",216,PPD/PSD,"37,20%",183,CH,"6,30%",31,B.E.,"3,05%",15,CDS-PP,"2,64%",13,IL,"2,44%",12,PCP-PEV,"1,22%",6,L,"0,41%",2,R.I.R.,"0,41%",2,MAS,"0,20%",1,MPT,"0,20%",1,PAN,"0,20%",1,PTP,"0,20%",1,VP,"0,20%",1,E,"0,00%",0,EMBRANCO,"0,61%",3,NULOS,"0,81%",4,,,,,,,,,,,,,,,
Guarda,Trancoso,Vilares e Carnicães,PS,"51,67%",93,PPD/PSD,"29,44%",53,CH,"5,00%",9,PCP-PEV,"5,00%",9,B.E.,"3,89%",7,CDS-PP,"2,22%",4,L,"0,56%",1,E,"0,00%",0,IL,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,11%",2,NULOS,"1,11%",2,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Almendra,PS,"47,97%",71,PPD/PSD,"40,54%",60,CH,"5,41%",8,PCP-PEV,"1,35%",2,B.E.,"0,68%",1,CDS-PP,"0,68%",1,IL,"0,68%",1,PAN,"0,68%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,68%",1,NULOS,"1,35%",2,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Castelo Melhor,PS,"52,94%",54,PPD/PSD,"40,20%",41,B.E.,"2,94%",3,CDS-PP,"0,98%",1,E,"0,98%",1,VP,"0,98%",1,CH,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,98%",1,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Cedovim,PS,"47,53%",77,PPD/PSD,"32,10%",52,CH,"9,88%",16,CDS-PP,"2,47%",4,IL,"1,85%",3,B.E.,"1,23%",2,PAN,"0,62%",1,PCP-PEV,"0,62%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,23%",2,NULOS,"2,47%",4,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Chãs,PS,"49,21%",62,PPD/PSD,"45,24%",57,CH,"2,38%",3,B.E.,"0,79%",1,CDS-PP,"0,79%",1,L,"0,79%",1,E,"0,00%",0,IL,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,79%",1,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Custóias,PPD/PSD,"42,72%",44,PS,"41,75%",43,CDS-PP,"5,83%",6,CH,"2,91%",3,PAN,"2,91%",3,B.E.,"1,94%",2,E,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,94%",2,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Freixo de Numão,PPD/PSD,"42,97%",110,PS,"41,80%",107,CH,"5,47%",14,PAN,"2,34%",6,B.E.,"1,56%",4,CDS-PP,"1,17%",3,E,"0,78%",2,PCP-PEV,"0,78%",2,IL,"0,39%",1,PTP,"0,39%",1,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,56%",4,NULOS,"0,78%",2,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Horta,PS,"51,02%",50,PPD/PSD,"33,67%",33,CH,"4,08%",4,B.E.,"3,06%",3,E,"1,02%",1,PAN,"1,02%",1,PCP-PEV,"1,02%",1,VP,"1,02%",1,CDS-PP,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,02%",1,NULOS,"3,06%",3,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Muxagata,PS,"37,43%",64,PPD/PSD,"36,84%",63,CH,"14,04%",24,CDS-PP,"2,92%",5,PCP-PEV,"1,17%",2,B.E.,"0,58%",1,IL,"0,58%",1,MAS,"0,58%",1,MPT,"0,58%",1,R.I.R.,"0,58%",1,E,"0,00%",0,L,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,34%",4,NULOS,"2,34%",4,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Numão,PS,"44,27%",58,PPD/PSD,"41,98%",55,CDS-PP,"3,82%",5,CH,"3,82%",5,B.E.,"2,29%",3,L,"1,53%",2,R.I.R.,"0,76%",1,E,"0,00%",0,IL,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"1,53%",2,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Santa Comba,PPD/PSD,"65,66%",65,PS,"28,28%",28,CDS-PP,"2,02%",2,PCP-PEV,"2,02%",2,B.E.,"1,01%",1,PAN,"1,01%",1,CH,"0,00%",0,E,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Sebadelhe,PS,"51,75%",74,PPD/PSD,"32,17%",46,CH,"4,90%",7,B.E.,"3,50%",5,CDS-PP,"2,80%",4,PCP-PEV,"2,10%",3,IL,"0,70%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,40%",2,NULOS,"0,70%",1,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Seixas,PPD/PSD,"48,12%",64,PS,"32,33%",43,CH,"9,02%",12,PCP-PEV,"2,26%",3,L,"1,50%",2,VP,"1,50%",2,B.E.,"0,75%",1,CDS-PP,"0,75%",1,IL,"0,75%",1,PAN,"0,75%",1,PTP,"0,75%",1,R.I.R.,"0,75%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,75%",1,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Touça,PPD/PSD,"43,12%",47,PS,"41,28%",45,CH,"6,42%",7,IL,"1,83%",2,PCP-PEV,"1,83%",2,B.E.,"0,92%",1,L,"0,92%",1,R.I.R.,"0,92%",1,CDS-PP,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,75%",3,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Guarda,Vila Nova de Foz Côa,Vila Nova de Foz Côa,PS,"45,04%",713,PPD/PSD,"34,93%",553,CH,"6,70%",106,IL,"2,91%",46,B.E.,"2,46%",39,PCP-PEV,"2,27%",36,CDS-PP,"1,71%",27,PAN,"0,69%",11,L,"0,57%",9,R.I.R.,"0,44%",7,E,"0,19%",3,MPT,"0,13%",2,VP,"0,13%",2,MAS,"0,06%",1,PTP,"0,06%",1,EMBRANCO,"0,57%",9,NULOS,"1,14%",18,,,,,,,,,,,,,,,
Leiria,Alcobaça,Alcobaça e Vestiaria,PS,"35,60%","1,265",PPD/PSD,"34,73%","1,234",CH,"6,84%",243,IL,"5,60%",199,B.E.,"4,33%",154,PCP-PEV,"3,80%",135,CDS-PP,"2,36%",84,PAN,"1,49%",53,L,"1,32%",47,R.I.R.,"0,53%",19,NC,"0,31%",11,ADN,"0,25%",9,E,"0,25%",9,MPT,"0,11%",4,MAS,"0,06%",2,VP,"0,06%",2,PTP,"0,00%",0,EMBRANCO,"1,21%",43,NULOS,"1,13%",40,,,,,,,,,
Leiria,Alcobaça,Alfeizerão,PPD/PSD,"38,01%",631,PS,"35,30%",586,CH,"8,61%",143,IL,"5,18%",86,B.E.,"3,80%",63,CDS-PP,"2,11%",35,PCP-PEV,"1,69%",28,PAN,"0,84%",14,L,"0,78%",13,ADN,"0,36%",6,R.I.R.,"0,36%",6,MAS,"0,12%",2,NC,"0,06%",1,PTP,"0,06%",1,E,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,63%",27,NULOS,"1,08%",18,,,,,,,,,
Leiria,Alcobaça,Aljubarrota,PS,"37,01%","1,157",PPD/PSD,"31,61%",988,CH,"9,21%",288,IL,"5,28%",165,B.E.,"4,16%",130,PCP-PEV,"3,10%",97,CDS-PP,"2,66%",83,PAN,"1,22%",38,L,"1,09%",34,R.I.R.,"0,48%",15,NC,"0,29%",9,ADN,"0,22%",7,MPT,"0,13%",4,PTP,"0,10%",3,VP,"0,10%",3,E,"0,06%",2,MAS,"0,06%",2,EMBRANCO,"1,95%",61,NULOS,"1,28%",40,,,,,,,,,
Leiria,Alcobaça,Bárrio,PS,"46,60%",377,PPD/PSD,"26,95%",218,CH,"5,32%",43,PCP-PEV,"4,94%",40,IL,"4,33%",35,B.E.,"3,34%",27,CDS-PP,"1,85%",15,PAN,"0,99%",8,R.I.R.,"0,74%",6,L,"0,49%",4,NC,"0,49%",4,ADN,"0,37%",3,VP,"0,25%",2,E,"0,12%",1,MPT,"0,12%",1,MAS,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,98%",16,NULOS,"1,11%",9,,,,,,,,,
Leiria,Alcobaça,Benedita,PPD/PSD,"44,72%","2,181",PS,"25,45%","1,241",CH,"8,67%",423,IL,"7,16%",349,B.E.,"3,71%",181,CDS-PP,"2,48%",121,PCP-PEV,"1,35%",66,L,"1,11%",54,PAN,"1,07%",52,ADN,"0,45%",22,R.I.R.,"0,35%",17,MAS,"0,16%",8,MPT,"0,12%",6,NC,"0,10%",5,PTP,"0,04%",2,E,"0,02%",1,VP,"0,00%",0,EMBRANCO,"1,37%",67,NULOS,"1,66%",81,,,,,,,,,
Leiria,Alcobaça,Cela,PS,"36,68%",563,PPD/PSD,"35,77%",549,CH,"7,95%",122,B.E.,"4,23%",65,IL,"3,78%",58,PCP-PEV,"2,48%",38,CDS-PP,"1,95%",30,R.I.R.,"0,98%",15,PAN,"0,85%",13,L,"0,72%",11,NC,"0,65%",10,E,"0,20%",3,MAS,"0,20%",3,VP,"0,20%",3,MPT,"0,07%",1,ADN,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,69%",26,NULOS,"1,63%",25,,,,,,,,,
Leiria,Alcobaça,"Coz, Alpedriz e Montes",PS,"48,76%",768,PPD/PSD,"23,49%",370,CH,"6,98%",110,B.E.,"4,76%",75,PCP-PEV,"4,00%",63,IL,"3,11%",49,CDS-PP,"1,52%",24,PAN,"1,52%",24,L,"0,76%",12,R.I.R.,"0,70%",11,ADN,"0,44%",7,NC,"0,25%",4,PTP,"0,13%",2,E,"0,06%",1,MPT,"0,06%",1,VP,"0,06%",1,MAS,"0,00%",0,EMBRANCO,"1,90%",30,NULOS,"1,46%",23,,,,,,,,,
Leiria,Alcobaça,Évora de Alcobaça,PPD/PSD,"41,58%","1,005",PS,"32,85%",794,CH,"8,19%",198,IL,"3,48%",84,B.E.,"3,02%",73,CDS-PP,"2,73%",66,PCP-PEV,"1,70%",41,PAN,"1,03%",25,R.I.R.,"0,74%",18,L,"0,54%",13,ADN,"0,29%",7,MPT,"0,25%",6,NC,"0,17%",4,VP,"0,12%",3,E,"0,08%",2,MAS,"0,04%",1,PTP,"0,04%",1,EMBRANCO,"1,57%",38,NULOS,"1,57%",38,,,,,,,,,
Leiria,Alcobaça,Maiorga,PS,"49,45%",490,PPD/PSD,"19,68%",195,CH,"7,87%",78,PCP-PEV,"5,85%",58,B.E.,"5,05%",50,IL,"4,44%",44,CDS-PP,"1,92%",19,L,"1,92%",19,PAN,"0,61%",6,R.I.R.,"0,50%",5,NC,"0,30%",3,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,11%",11,NULOS,"1,31%",13,,,,,,,,,
Leiria,Alcobaça,Pataias e Martingança,PS,"45,77%","1,633",PPD/PSD,"24,92%",889,CH,"7,60%",271,IL,"4,79%",171,B.E.,"4,74%",169,PCP-PEV,"4,37%",156,PAN,"1,49%",53,CDS-PP,"1,18%",42,L,"0,87%",31,NC,"0,62%",22,R.I.R.,"0,50%",18,ADN,"0,25%",9,MAS,"0,14%",5,VP,"0,08%",3,E,"0,06%",2,MPT,"0,06%",2,PTP,"0,03%",1,EMBRANCO,"1,43%",51,NULOS,"1,12%",40,,,,,,,,,
Leiria,Alcobaça,São Martinho do Porto,PS,"37,60%",549,PPD/PSD,"33,49%",489,CH,"8,08%",118,IL,"5,82%",85,B.E.,"4,32%",63,PCP-PEV,"2,40%",35,CDS-PP,"2,12%",31,PAN,"1,16%",17,L,"1,10%",16,NC,"0,62%",9,R.I.R.,"0,41%",6,ADN,"0,14%",2,E,"0,14%",2,MAS,"0,14%",2,PTP,"0,07%",1,VP,"0,07%",1,MPT,"0,00%",0,EMBRANCO,"0,96%",14,NULOS,"1,37%",20,,,,,,,,,
Leiria,Alcobaça,Turquel,PPD/PSD,"46,15%","1,132",PS,"22,79%",559,CH,"12,07%",296,IL,"5,26%",129,B.E.,"3,38%",83,CDS-PP,"2,45%",60,PAN,"0,94%",23,PCP-PEV,"0,82%",20,L,"0,77%",19,R.I.R.,"0,69%",17,NC,"0,24%",6,ADN,"0,20%",5,MPT,"0,20%",5,MAS,"0,08%",2,PTP,"0,08%",2,VP,"0,08%",2,E,"0,04%",1,EMBRANCO,"1,22%",30,NULOS,"2,53%",62,,,,,,,,,
Leiria,Alcobaça,Vimeiro,PPD/PSD,"54,47%",555,PS,"19,63%",200,CH,"11,19%",114,CDS-PP,"3,83%",39,IL,"3,14%",32,PAN,"1,57%",16,PCP-PEV,"1,37%",14,B.E.,"1,08%",11,ADN,"0,39%",4,NC,"0,20%",2,E,"0,10%",1,L,"0,10%",1,MAS,"0,10%",1,R.I.R.,"0,10%",1,VP,"0,10%",1,MPT,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,57%",16,NULOS,"1,08%",11,,,,,,,,,
Leiria,Alvaiázere,Almoster,PPD/PSD,"59,68%",188,PS,"26,35%",83,CH,"5,40%",17,B.E.,"2,22%",7,IL,"1,59%",5,CDS-PP,"1,27%",4,PCP-PEV,"0,95%",3,NC,"0,32%",1,PTP,"0,32%",1,R.I.R.,"0,32%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,32%",1,NULOS,"1,27%",4,,,,,,,,,
Leiria,Alvaiázere,Alvaiázere,PPD/PSD,"48,00%",467,PS,"27,65%",269,CH,"10,89%",106,IL,"2,77%",27,B.E.,"2,47%",24,CDS-PP,"2,06%",20,L,"0,82%",8,PAN,"0,72%",7,PCP-PEV,"0,72%",7,R.I.R.,"0,31%",3,MAS,"0,10%",1,MPT,"0,10%",1,PTP,"0,10%",1,ADN,"0,00%",0,E,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,13%",11,NULOS,"2,16%",21,,,,,,,,,
Leiria,Alvaiázere,Maçãs de Dona Maria,PPD/PSD,"53,28%",447,PS,"28,13%",236,CH,"8,10%",68,CDS-PP,"3,46%",29,IL,"1,55%",13,B.E.,"1,31%",11,PCP-PEV,"1,07%",9,L,"0,60%",5,R.I.R.,"0,48%",4,PAN,"0,36%",3,MPT,"0,12%",1,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,72%",6,NULOS,"0,83%",7,,,,,,,,,
Leiria,Alvaiázere,Pelmá,PPD/PSD,"51,93%",175,CH,"19,29%",65,PS,"18,99%",64,IL,"2,37%",8,CDS-PP,"1,78%",6,B.E.,"1,19%",4,PAN,"0,89%",3,L,"0,59%",2,PCP-PEV,"0,59%",2,NC,"0,30%",1,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,30%",1,NULOS,"1,78%",6,,,,,,,,,
Leiria,Alvaiázere,Pussos São Pedro,PPD/PSD,"45,57%",406,PS,"29,52%",263,CH,"12,57%",112,B.E.,"3,25%",29,CDS-PP,"2,36%",21,IL,"1,80%",16,PCP-PEV,"0,79%",7,L,"0,67%",6,PAN,"0,67%",6,R.I.R.,"0,45%",4,ADN,"0,22%",2,E,"0,11%",1,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,01%",9,NULOS,"1,01%",9,,,,,,,,,
Leiria,Ansião,Alvorge,PS,"44,55%",241,PPD/PSD,"36,97%",200,CH,"6,10%",33,B.E.,"2,22%",12,IL,"2,22%",12,PCP-PEV,"1,66%",9,CDS-PP,"1,48%",8,L,"0,55%",3,PAN,"0,55%",3,E,"0,37%",2,PTP,"0,37%",2,R.I.R.,"0,18%",1,ADN,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,85%",10,NULOS,"0,92%",5,,,,,,,,,
Leiria,Ansião,Ansião,PS,"39,19%",767,PPD/PSD,"37,81%",740,CH,"7,97%",156,B.E.,"3,12%",61,PCP-PEV,"2,45%",48,IL,"2,10%",41,CDS-PP,"1,89%",37,PAN,"0,82%",16,L,"0,61%",12,R.I.R.,"0,61%",12,MPT,"0,10%",2,MAS,"0,05%",1,NC,"0,05%",1,PTP,"0,05%",1,ADN,"0,00%",0,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,53%",30,NULOS,"1,64%",32,,,,,,,,,
Leiria,Ansião,Avelar,PS,"43,15%",460,PPD/PSD,"35,37%",377,CH,"6,38%",68,IL,"3,56%",38,B.E.,"3,19%",34,PCP-PEV,"1,13%",12,L,"1,03%",11,CDS-PP,"0,94%",10,PAN,"0,75%",8,R.I.R.,"0,38%",4,ADN,"0,28%",3,MAS,"0,19%",2,MPT,"0,19%",2,PTP,"0,19%",2,NC,"0,09%",1,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,59%",17,NULOS,"1,59%",17,,,,,,,,,
Leiria,Ansião,Chão de Couce,PPD/PSD,"47,26%",448,PS,"33,54%",318,CH,"5,91%",56,IL,"3,27%",31,B.E.,"2,22%",21,CDS-PP,"1,90%",18,PCP-PEV,"1,90%",18,PAN,"0,74%",7,R.I.R.,"0,42%",4,L,"0,32%",3,ADN,"0,11%",1,E,"0,11%",1,MPT,"0,11%",1,PTP,"0,11%",1,VP,"0,11%",1,MAS,"0,00%",0,NC,"0,00%",0,EMBRANCO,"0,95%",9,NULOS,"1,05%",10,,,,,,,,,
Leiria,Ansião,Pousaflores,PPD/PSD,"44,92%",221,PS,"36,99%",182,CH,"7,32%",36,CDS-PP,"2,64%",13,B.E.,"2,24%",11,PCP-PEV,"1,22%",6,ADN,"0,61%",3,IL,"0,61%",3,L,"0,61%",3,PAN,"0,41%",2,E,"0,20%",1,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,81%",4,NULOS,"1,42%",7,,,,,,,,,
Leiria,Ansião,Santiago da Guarda,PPD/PSD,"51,60%",772,PS,"29,75%",445,CH,"8,49%",127,IL,"2,74%",41,CDS-PP,"1,47%",22,B.E.,"1,40%",21,L,"0,94%",14,PCP-PEV,"0,74%",11,R.I.R.,"0,74%",11,PAN,"0,47%",7,ADN,"0,13%",2,E,"0,07%",1,MAS,"0,07%",1,MPT,"0,07%",1,PTP,"0,07%",1,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,60%",9,NULOS,"0,67%",10,,,,,,,,,
Leiria,Batalha,Batalha,PPD/PSD,"36,86%","1,702",PS,"31,51%","1,455",CH,"8,56%",395,IL,"7,91%",365,B.E.,"4,01%",185,CDS-PP,"3,05%",141,PCP-PEV,"1,39%",64,PAN,"1,36%",63,L,"0,80%",37,R.I.R.,"0,63%",29,ADN,"0,52%",24,VP,"0,19%",9,NC,"0,11%",5,MAS,"0,09%",4,MPT,"0,09%",4,PTP,"0,09%",4,E,"0,04%",2,EMBRANCO,"1,80%",83,NULOS,"1,00%",46,,,,,,,,,
Leiria,Batalha,Golpilheira,PPD/PSD,"41,55%",371,PS,"31,80%",284,CH,"6,94%",62,IL,"5,38%",48,B.E.,"3,81%",34,CDS-PP,"3,81%",34,PAN,"1,57%",14,L,"1,12%",10,PCP-PEV,"1,01%",9,MPT,"0,34%",3,NC,"0,34%",3,R.I.R.,"0,34%",3,E,"0,11%",1,ADN,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,46%",13,NULOS,"0,45%",4,,,,,,,,,
Leiria,Batalha,Reguengo do Fetal,PPD/PSD,"40,78%",469,PS,"33,83%",389,CH,"6,52%",75,IL,"6,00%",69,B.E.,"2,87%",33,CDS-PP,"2,87%",33,PAN,"1,48%",17,PCP-PEV,"0,78%",9,L,"0,70%",8,R.I.R.,"0,61%",7,MAS,"0,17%",2,PTP,"0,17%",2,VP,"0,17%",2,E,"0,09%",1,NC,"0,09%",1,ADN,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,39%",16,NULOS,"1,48%",17,,,,,,,,,
Leiria,Batalha,São Mamede,PPD/PSD,"51,85%","1,035",PS,"20,49%",409,CH,"10,87%",217,IL,"4,01%",80,CDS-PP,"3,96%",79,B.E.,"1,75%",35,PAN,"1,00%",20,PCP-PEV,"0,90%",18,ADN,"0,50%",10,L,"0,50%",10,NC,"0,30%",6,R.I.R.,"0,30%",6,E,"0,15%",3,MPT,"0,15%",3,VP,"0,10%",2,MAS,"0,05%",1,PTP,"0,05%",1,EMBRANCO,"1,45%",29,NULOS,"1,60%",32,,,,,,,,,
Leiria,Bombarral,Bombarral e Vale Covo,PS,"42,34%","1,431",PPD/PSD,"26,92%",910,CH,"7,25%",245,B.E.,"4,70%",159,PCP-PEV,"4,64%",157,IL,"4,05%",137,CDS-PP,"3,40%",115,PAN,"1,83%",62,L,"1,21%",41,ADN,"0,33%",11,R.I.R.,"0,27%",9,MPT,"0,18%",6,MAS,"0,15%",5,NC,"0,03%",1,VP,"0,03%",1,E,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,60%",54,NULOS,"1,07%",36,,,,,,,,,
Leiria,Bombarral,Carvalhal,PS,"45,05%",573,PPD/PSD,"29,87%",380,CH,"6,68%",85,CDS-PP,"4,48%",57,IL,"4,01%",51,B.E.,"3,38%",43,PCP-PEV,"2,04%",26,R.I.R.,"0,71%",9,L,"0,47%",6,PAN,"0,47%",6,ADN,"0,24%",3,NC,"0,24%",3,MAS,"0,16%",2,E,"0,08%",1,MPT,"0,08%",1,PTP,"0,08%",1,VP,"0,00%",0,EMBRANCO,"1,18%",15,NULOS,"0,79%",10,,,,,,,,,
Leiria,Bombarral,Pó,PS,"38,94%",176,PPD/PSD,"35,40%",160,CH,"9,96%",45,IL,"3,98%",18,PCP-PEV,"3,98%",18,CDS-PP,"2,43%",11,B.E.,"1,77%",8,L,"0,66%",3,PAN,"0,22%",1,PTP,"0,22%",1,R.I.R.,"0,22%",1,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,33%",6,NULOS,"0,88%",4,,,,,,,,,
Leiria,Bombarral,Roliça,PS,"36,65%",471,PPD/PSD,"30,89%",397,CH,"9,42%",121,PCP-PEV,"6,38%",82,IL,"4,98%",64,CDS-PP,"3,89%",50,B.E.,"3,81%",49,PAN,"0,62%",8,ADN,"0,54%",7,L,"0,47%",6,R.I.R.,"0,47%",6,E,"0,08%",1,MAS,"0,08%",1,NC,"0,08%",1,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,17%",15,NULOS,"0,47%",6,,,,,,,,,
