Freguesia DW,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Barreira,PPD/PSD,"45,35%",39,PS,"37,21%",32,CDS-PP,"6,98%",6,CH,"3,49%",3,B.E.,"2,33%",2,R.I.R.,"2,33%",2,L,"1,16%",1,PCP-PEV,"1,16%",1,E,"0,00%",0,IL,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Vila Maior,PS,"45,35%",234,PPD/PSD,"35,47%",183,CH,"4,84%",25,IL,"2,91%",15,B.E.,"2,71%",14,PCP-PEV,"1,94%",10,CDS-PP,"1,55%",8,PAN,"1,55%",8,R.I.R.,"0,58%",3,VP,"0,58%",3,L,"0,19%",1,NC,"0,19%",1,PTP,"0,19%",1,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,16%",6,NULOS,"0,78%",4,,,,,,,,,
Barão de São Miguel,PS,"45,36%",83,PPD/PSD,"19,67%",36,PCP-PEV,"6,56%",12,CH,"6,01%",11,B.E.,"5,46%",10,PAN,"4,92%",9,IL,"2,73%",5,L,"2,19%",4,ADN,"1,09%",2,R.I.R.,"1,09%",2,CDS-PP,"0,55%",1,MAS,"0,55%",1,E,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,73%",5,NULOS,"1,09%",2,,,,,,,,,,,,
Basto,PPD/PSD,"45,36%",230,PS,"41,62%",211,CH,"4,14%",21,B.E.,"3,16%",16,L,"0,79%",4,PCP-PEV,"0,79%",4,IL,"0,59%",3,JPP,"0,59%",3,PTP,"0,59%",3,CDS-PP,"0,39%",2,MAS,"0,20%",1,PAN,"0,20%",1,R.I.R.,"0,20%",1,VP,"0,20%",1,A,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,39%",2,NULOS,"0,79%",4,,,,,,,,,
Olhalvo,PS,"45,36%",489,PPD/PSD,"22,26%",240,CH,"10,11%",109,PCP-PEV,"7,05%",76,IL,"4,08%",44,B.E.,"3,90%",42,CDS-PP,"1,58%",17,PCTP/MRPP,"1,58%",17,PAN,"0,93%",10,L,"0,74%",8,R.I.R.,"0,65%",7,MAS,"0,28%",3,JPP,"0,09%",1,MPT,"0,09%",1,PTP,"0,09%",1,A,"0,00%",0,ADN,"0,00%",0,E,"0,00%",0,NC,"0,00%",0,,,,,,,,,
"União das freguesias de Vila Garcia, Aboim e Chapa",PPD/PSD,"45,36%",450,PS,"37,10%",368,CH,"3,53%",35,IL,"3,13%",31,CDS-PP,"2,92%",29,B.E.,"2,82%",28,L,"0,81%",8,PAN,"0,81%",8,PCP-PEV,"0,60%",6,R.I.R.,"0,60%",6,ADN,"0,30%",3,VP,"0,20%",2,MPT,"0,10%",1,NC,"0,10%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,,,,,,,,,
Pias – Monção,PPD/PSD,"45,37%",196,PS,"35,42%",153,CH,"6,71%",29,CDS-PP,"2,08%",9,IL,"1,39%",6,B.E.,"1,16%",5,PCP-PEV,"1,16%",5,R.I.R.,"0,93%",4,L,"0,46%",2,PAN,"0,46%",2,MAS,"0,23%",1,MPT,"0,23%",1,A,"0,00%",0,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,08%",9,NULOS,"2,31%",10,,,,,,,,,,,,,,,
"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",PS,"45,37%","2,944",PPD/PSD,"32,78%","2,127",B.E.,"4,75%",308,IL,"4,24%",275,CH,"3,67%",238,PCP-PEV,"2,71%",176,L,"1,49%",97,CDS-PP,"1,19%",77,PAN,"1,03%",67,R.I.R.,"0,42%",27,ADN,"0,17%",11,MAS,"0,09%",6,PTP,"0,06%",4,VP,"0,05%",3,E,"0,03%",2,JPP,"0,03%",2,MPT,"0,03%",2,NC,"0,03%",2,A,"0,02%",1,,,,,,,,,
Sambade,PPD/PSD,"45,38%",118,PS,"42,31%",110,CH,"5,77%",15,CDS-PP,"2,69%",7,IL,"1,54%",4,PCP-PEV,"0,77%",2,B.E.,"0,38%",1,PAN,"0,38%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,38%",1,NULOS,"0,38%",1,,,,,,,,,,,,,,,,,,,,,
Sendim – Felgueiras,PS,"45,38%",422,PPD/PSD,"33,87%",315,CH,"6,77%",63,B.E.,"3,44%",32,IL,"2,58%",24,PCP-PEV,"1,94%",18,CDS-PP,"1,29%",12,L,"0,75%",7,R.I.R.,"0,65%",6,PAN,"0,32%",3,E,"0,22%",2,MPT,"0,22%",2,ADN,"0,11%",1,MAS,"0,11%",1,NC,"0,11%",1,A,"0,00%",0,JPP,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,,,,,,,,,
"União das freguesias de Cepões, Meijinhos e Melcões",PPD/PSD,"45,38%",260,PS,"39,79%",228,CH,"5,06%",29,CDS-PP,"1,92%",11,IL,"1,57%",9,B.E.,"1,22%",7,PCP-PEV,"1,05%",6,PAN,"0,87%",5,L,"0,70%",4,R.I.R.,"0,52%",3,VP,"0,17%",1,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,35%",2,NULOS,"1,40%",8,,,,,,,,,
Coutos de Viseu,PS,"45,39%",359,PPD/PSD,"31,98%",253,CH,"8,85%",70,IL,"3,92%",31,B.E.,"2,28%",18,CDS-PP,"2,15%",17,PCP-PEV,"1,14%",9,PAN,"0,88%",7,L,"0,38%",3,MAS,"0,13%",1,R.I.R.,"0,13%",1,VP,"0,13%",1,ADN,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,52%",12,NULOS,"1,14%",9,,,,,,,,,
Covas,PS,"45,39%",133,PPD/PSD,"30,03%",88,CH,"8,87%",26,IL,"3,07%",9,B.E.,"2,39%",7,CDS-PP,"2,39%",7,PCP-PEV,"2,39%",7,PAN,"1,71%",5,R.I.R.,"0,68%",2,L,"0,34%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,02%",3,NULOS,"1,71%",5,,,,,,,,,,,,,,,
Vila de Punhe,PS,"45,39%",546,PPD/PSD,"32,75%",394,CH,"5,49%",66,IL,"3,91%",47,B.E.,"2,74%",33,PCP-PEV,"2,66%",32,CDS-PP,"1,91%",23,PAN,"1,00%",12,L,"0,75%",9,MPT,"0,33%",4,R.I.R.,"0,33%",4,E,"0,08%",1,MAS,"0,08%",1,VP,"0,08%",1,A,"0,00%",0,EMBRANCO,"1,33%",16,NULOS,"1,16%",14,,,,,,,,,,,,,,,
Angra (Nossa Senhora da Conceição),PS,"45,40%",686,PPD/PSD.CDS-PP.PPM,"30,58%",462,B.E.,"5,36%",81,CH,"4,77%",72,IL,"4,37%",66,PAN,"2,12%",32,PCP-PEV,"1,92%",29,L,"1,06%",16,R.I.R.,"0,46%",7,ADN,"0,26%",4,MPT,"0,20%",3,PCTP/MRPP,"0,13%",2,E,"0,07%",1,MAS,"0,07%",1,VP,"0,00%",0,EMBRANCO,"2,05%",31,NULOS,"1,19%",18,,,,,,,,,,,,,,,
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",PS,"45,40%","1,045",PPD/PSD,"33,97%",782,CH,"5,04%",116,B.E.,"3,56%",82,IL,"3,34%",77,CDS-PP,"2,61%",60,PCP-PEV,"2,39%",55,PAN,"0,87%",20,L,"0,61%",14,R.I.R.,"0,17%",4,A,"0,13%",3,MPT,"0,13%",3,MAS,"0,09%",2,VP,"0,09%",2,E,"0,04%",1,PTP,"0,04%",1,JPP,"0,00%",0,EMBRANCO,"1,26%",29,NULOS,"0,26%",6,,,,,,,,,
Orvalho,PS,"45,42%",114,PPD/PSD,"30,68%",77,CH,"9,16%",23,CDS-PP,"2,39%",6,PCP-PEV,"1,99%",5,ADN,"1,20%",3,IL,"1,20%",3,B.E.,"0,80%",2,PCTP/MRPP,"0,80%",2,E,"0,40%",1,MPT,"0,40%",1,NC,"0,40%",1,PAN,"0,40%",1,R.I.R.,"0,40%",1,L,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,40%",1,NULOS,"3,98%",10,,,,,,,,,
Rio Tinto,PS,"45,42%","12,645",PPD/PSD,"27,12%","7,552",B.E.,"6,14%","1,71",IL,"4,69%","1,307",PCP-PEV,"4,65%","1,296",CH,"4,56%","1,269",PAN,"2,17%",603,L,"1,17%",327,CDS-PP,"1,03%",288,R.I.R.,"0,61%",170,ADN,"0,19%",52,E,"0,09%",26,MPT,"0,09%",24,MAS,"0,08%",23,VP,"0,08%",21,NC,"0,06%",16,JPP,"0,04%",12,A,"0,03%",9,PTP,"0,03%",7,,,,,,,,,
Souto Maior,PS,"45,42%",114,PPD/PSD,"39,84%",100,CH,"5,98%",15,B.E.,"1,99%",5,CDS-PP,"1,59%",4,PCP-PEV,"0,80%",2,R.I.R.,"0,80%",2,IL,"0,40%",1,MPT,"0,40%",1,NC,"0,40%",1,PAN,"0,40%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,20%",3,NULOS,"0,80%",2,,,,,,,,,,,,,,,
Cernache,PS,"45,43%","1,043",PPD/PSD,"25,00%",574,CH,"6,71%",154,B.E.,"5,40%",124,PCP-PEV,"4,49%",103,IL,"3,88%",89,CDS-PP,"1,96%",45,PAN,"1,66%",38,L,"1,31%",30,R.I.R.,"0,44%",10,A,"0,30%",7,MAS,"0,26%",6,PCTP/MRPP,"0,26%",6,MPT,"0,13%",3,E,"0,04%",1,VP,"0,00%",0,EMBRANCO,"2,00%",46,NULOS,"0,74%",17,,,,,,,,,,,,
Moledo,PPD/PSD,"45,43%",209,PS,"40,22%",185,CH,"8,26%",38,CDS-PP,"1,09%",5,B.E.,"0,87%",4,L,"0,65%",3,R.I.R.,"0,65%",3,E,"0,22%",1,MPT,"0,22%",1,PAN,"0,22%",1,PCP-PEV,"0,22%",1,PTP,"0,22%",1,ADN,"0,00%",0,IL,"0,00%",0,MAS,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,65%",3,NULOS,"1,09%",5,,,,,,,,,
Outeiro – Viana do Castelo,PS,"45,43%",293,PPD/PSD,"31,94%",206,CH,"4,65%",30,B.E.,"3,72%",24,IL,"3,57%",23,CDS-PP,"2,33%",15,PCP-PEV,"2,17%",14,L,"1,09%",7,PAN,"0,78%",5,R.I.R.,"0,78%",5,MPT,"0,47%",3,VP,"0,16%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,86%",12,NULOS,"1,09%",7,,,,,,,,,,,,,,,
Ferreirim,PS,"45,44%",214,PPD/PSD,"35,67%",168,CH,"9,13%",43,CDS-PP,"3,18%",15,PCP-PEV,"1,49%",7,B.E.,"0,64%",3,IL,"0,64%",3,PAN,"0,42%",2,VP,"0,42%",2,L,"0,21%",1,MAS,"0,21%",1,PTP,"0,21%",1,ADN,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,06%",5,NULOS,"1,27%",6,,,,,,,,,
Madeirã,PPD/PSD,"45,45%",40,PS,"39,77%",35,CH,"3,41%",3,IL,"3,41%",3,PCP-PEV,"2,27%",2,CDS-PP,"1,14%",1,MAS,"1,14%",1,PCTP/MRPP,"1,14%",1,ADN,"0,00%",0,B.E.,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"2,27%",2,NULOS,"0,00%",0,,,,,,,,,
Piedade,PS,"45,45%",150,PPD/PSD.CDS-PP.PPM,"45,15%",149,CH,"2,73%",9,B.E.,"1,21%",4,ADN,"0,91%",3,IL,"0,61%",2,PCP-PEV,"0,61%",2,L,"0,30%",1,PAN,"0,30%",1,R.I.R.,"0,30%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PCTP/MRPP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,91%",3,NULOS,"1,52%",5,,,,,,,,,,,,,,,
Póvoa de Penela,PS,"45,45%",65,PPD/PSD,"35,66%",51,CH,"5,59%",8,CDS-PP,"2,10%",3,IL,"2,10%",3,B.E.,"1,40%",2,PCP-PEV,"1,40%",2,PAN,"0,70%",1,R.I.R.,"0,70%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,70%",1,NULOS,"4,20%",6,,,,,,,,,
União das freguesias de Fonte Arcada e Oliveira,PS,"45,45%",444,PPD/PSD,"39,61%",387,CH,"6,14%",60,CDS-PP,"2,46%",24,B.E.,"1,23%",12,IL,"1,23%",12,PCP-PEV,"0,72%",7,PAN,"0,61%",6,L,"0,31%",3,MPT,"0,31%",3,R.I.R.,"0,31%",3,PTP,"0,20%",2,E,"0,10%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,82%",8,NULOS,"0,51%",5,,,,,,,,,
Vilarinho de São Romão,PS,"45,45%",65,PPD/PSD,"27,97%",40,CH,"13,29%",19,B.E.,"3,50%",5,CDS-PP,"2,10%",3,IL,"2,10%",3,R.I.R.,"2,10%",3,MAS,"0,70%",1,PCP-PEV,"0,70%",1,E,"0,00%",0,L,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"2,10%",3,,,,,,,,,,,,,,,
Fiães – Santa Maria da Feira,PS,"45,46%","1,773",PPD/PSD,"31,41%","1,225",B.E.,"5,62%",219,CH,"3,90%",152,IL,"3,90%",152,PCP-PEV,"2,72%",106,CDS-PP,"1,31%",51,PAN,"1,26%",49,L,"0,74%",29,R.I.R.,"0,46%",18,PCTP/MRPP,"0,41%",16,VP,"0,15%",6,JPP,"0,13%",5,ADN,"0,10%",4,MPT,"0,10%",4,MAS,"0,05%",2,E,"0,03%",1,EMBRANCO,"1,33%",52,NULOS,"0,92%",36,,,,,,,,,
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",PS,"45,46%","3,1",PPD/PSD,"15,02%","1,024",PCP-PEV,"12,61%",860,CH,"8,58%",585,B.E.,"4,97%",339,IL,"4,85%",331,PAN,"1,77%",121,L,"1,42%",97,CDS-PP,"1,13%",77,PCTP/MRPP,"0,84%",57,R.I.R.,"0,41%",28,ADN,"0,21%",14,MAS,"0,18%",12,VP,"0,13%",9,MPT,"0,10%",7,E,"0,04%",3,JPP,"0,04%",3,PTP,"0,04%",3,A,"0,01%",1,,,,,,,,,
Oliveira do Conde,PS,"45,50%",663,PPD/PSD,"33,63%",490,CH,"7,41%",108,B.E.,"3,64%",53,PCP-PEV,"1,99%",29,CDS-PP,"1,65%",24,IL,"1,44%",21,PAN,"1,24%",18,L,"0,55%",8,R.I.R.,"0,21%",3,PTP,"0,14%",2,VP,"0,14%",2,ADN,"0,07%",1,MAS,"0,07%",1,MPT,"0,07%",1,NC,"0,07%",1,E,"0,00%",0,EMBRANCO,"1,17%",17,NULOS,"1,03%",15,,,,,,,,,
Pinheiro – Guimarães,PS,"45,50%",329,PPD/PSD,"28,77%",208,CH,"5,39%",39,IL,"5,39%",39,B.E.,"4,56%",33,PCP-PEV,"3,73%",27,CDS-PP,"1,11%",8,L,"0,97%",7,PAN,"0,55%",4,R.I.R.,"0,28%",2,VP,"0,28%",2,A,"0,14%",1,E,"0,14%",1,JPP,"0,14%",1,MAS,"0,14%",1,PTP,"0,14%",1,MPT,"0,00%",0,EMBRANCO,"1,38%",10,NULOS,"1,38%",10,,,,,,,,,
Santa Maria de Sardoura,PS,"45,50%",531,PPD/PSD,"40,10%",468,IL,"2,66%",31,CH,"2,06%",24,CDS-PP,"1,63%",19,R.I.R.,"1,63%",19,B.E.,"1,54%",18,PCP-PEV,"0,94%",11,PAN,"0,86%",10,L,"0,26%",3,PCTP/MRPP,"0,26%",3,ADN,"0,17%",2,MPT,"0,17%",2,JPP,"0,09%",1,E,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,94%",11,NULOS,"1,20%",14,,,,,,,,,
Gondoriz – Terras de Bouro,PS,"45,51%",71,PPD/PSD,"44,23%",69,CH,"3,21%",5,B.E.,"2,56%",4,CDS-PP,"1,92%",3,L,"0,64%",1,MAS,"0,64%",1,R.I.R.,"0,64%",1,A,"0,00%",0,E,"0,00%",0,IL,"0,00%",0,JPP,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,64%",1,,,,,,,,,
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,PS,"45,51%",700,PPD/PSD,"20,61%",317,CH,"10,66%",164,PCP-PEV,"8,06%",124,B.E.,"3,97%",61,IL,"3,90%",60,CDS-PP,"1,37%",21,L,"1,37%",21,PAN,"1,11%",17,PCTP/MRPP,"0,91%",14,R.I.R.,"0,46%",7,JPP,"0,07%",1,MPT,"0,07%",1,NC,"0,07%",1,VP,"0,07%",1,A,"0,00%",0,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,,,,,,,,,
Bouro (Santa Marta),PS,"45,52%",132,PPD/PSD,"38,62%",112,CH,"5,17%",15,B.E.,"3,10%",9,IL,"3,10%",9,CDS-PP,"1,72%",5,PCP-PEV,"1,03%",3,PAN,"0,34%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,69%",2,NULOS,"0,69%",2,,,,,,,,,
Figueiró,PS,"45,52%",676,PPD/PSD,"35,96%",534,IL,"4,65%",69,CH,"3,84%",57,B.E.,"2,90%",43,PAN,"1,35%",20,CDS-PP,"1,14%",17,R.I.R.,"1,08%",16,PCP-PEV,"0,88%",13,L,"0,47%",7,E,"0,20%",3,NC,"0,20%",3,A,"0,07%",1,JPP,"0,07%",1,MAS,"0,07%",1,PTP,"0,07%",1,VP,"0,07%",1,ADN,"0,00%",0,MPT,"0,00%",0,,,,,,,,,
Gavieira,PS,"45,52%",61,PPD/PSD,"36,57%",49,CH,"6,72%",9,PCP-PEV,"2,99%",4,A,"1,49%",2,CDS-PP,"1,49%",2,IL,"1,49%",2,PAN,"1,49%",2,B.E.,"0,75%",1,MPT,"0,75%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,75%",1,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Moinhos da Gândara,PS,"45,52%",259,PPD/PSD,"30,76%",175,CH,"6,85%",39,B.E.,"3,69%",21,IL,"1,76%",10,PCP-PEV,"1,76%",10,R.I.R.,"1,41%",8,CDS-PP,"1,23%",7,PAN,"0,70%",4,PCTP/MRPP,"0,53%",3,A,"0,35%",2,L,"0,18%",1,MPT,"0,18%",1,E,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"3,51%",20,NULOS,"1,58%",9,,,,,,,,,,,,
Melides,PS,"45,53%",367,PPD/PSD,"22,58%",182,PCP-PEV,"11,04%",89,CH,"6,95%",56,B.E.,"3,23%",26,IL,"2,73%",22,CDS-PP,"1,61%",13,PCTP/MRPP,"1,61%",13,L,"1,12%",9,PAN,"0,99%",8,ADN,"0,74%",6,R.I.R.,"0,50%",4,E,"0,12%",1,MAS,"0,12%",1,MPT,"0,12%",1,PTP,"0,12%",1,VP,"0,12%",1,JPP,"0,00%",0,NC,"0,00%",0,,,,,,,,,
Sonim e Barreiros,PPD/PSD,"45,53%",107,PS,"29,36%",69,CH,"14,89%",35,CDS-PP,"2,13%",5,B.E.,"1,70%",4,IL,"1,70%",4,MAS,"0,85%",2,PAN,"0,85%",2,PCP-PEV,"0,43%",1,VP,"0,43%",1,E,"0,00%",0,L,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,43%",1,NULOS,"1,70%",4,,,,,,,,,,,,,,,
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",PS,"45,53%","11,936",PPD/PSD,"16,63%","4,359",PCP-PEV,"11,41%","2,992",B.E.,"7,05%","1,847",CH,"5,62%","1,474",IL,"5,03%","1,319",L,"2,32%",609,PAN,"2,25%",589,CDS-PP,"1,15%",301,PCTP/MRPP,"0,42%",109,ADN,"0,29%",75,R.I.R.,"0,23%",61,VP,"0,16%",41,MAS,"0,08%",20,MPT,"0,08%",20,E,"0,06%",17,NC,"0,05%",14,PTP,"0,05%",13,JPP,"0,03%",9,,,,,,,,,
União das freguesias de Olaia e Paço,PS,"45,53%",571,PPD/PSD,"18,10%",227,CH,"12,12%",152,PCP-PEV,"7,42%",93,B.E.,"6,38%",80,IL,"2,15%",27,CDS-PP,"1,91%",24,PAN,"1,75%",22,L,"1,28%",16,R.I.R.,"0,40%",5,MAS,"0,32%",4,MPT,"0,16%",2,PTP,"0,08%",1,VP,"0,08%",1,E,"0,00%",0,EMBRANCO,"1,12%",14,NULOS,"1,20%",15,,,,,,,,,,,,,,,
Gostei,PPD/PSD,"45,54%",92,PS,"38,12%",77,CH,"8,91%",18,CDS-PP,"2,48%",5,IL,"1,49%",3,PCP-PEV,"0,99%",2,B.E.,"0,50%",1,MPT,"0,50%",1,PAN,"0,50%",1,R.I.R.,"0,50%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,50%",1,,,,,,,,,,,,,,,,,,,,,
Lama de Arcos,PPD/PSD,"45,54%",92,PS,"38,12%",77,CH,"6,93%",14,PCP-PEV,"1,98%",4,R.I.R.,"1,98%",4,CDS-PP,"1,49%",3,B.E.,"0,99%",2,IL,"0,50%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"2,48%",5,,,,,,,,,,,,,,,
Gemeses,PPD/PSD,"45,55%",292,PS,"27,93%",179,CH,"7,33%",47,CDS-PP,"6,24%",40,IL,"3,90%",25,B.E.,"2,50%",16,PCP-PEV,"1,72%",11,PAN,"0,62%",4,E,"0,31%",2,L,"0,31%",2,MAS,"0,31%",2,PTP,"0,31%",2,R.I.R.,"0,31%",2,VP,"0,16%",1,A,"0,00%",0,JPP,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,40%",9,NULOS,"1,09%",7,,,,,,,,,
Regadas,PS,"45,55%",455,PPD/PSD,"38,24%",382,CH,"3,20%",32,IL,"3,00%",30,B.E.,"2,50%",25,CDS-PP,"1,50%",15,PCP-PEV,"1,10%",11,PAN,"1,00%",10,A,"0,20%",2,JPP,"0,20%",2,L,"0,20%",2,MPT,"0,20%",2,MAS,"0,10%",1,PTP,"0,10%",1,R.I.R.,"0,10%",1,VP,"0,10%",1,E,"0,00%",0,EMBRANCO,"1,70%",17,NULOS,"1,00%",10,,,,,,,,,
"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",PS,"45,55%","10,524",PCP-PEV,"13,14%","3,036",PPD/PSD,"12,83%","2,965",CH,"9,25%","2,137",B.E.,"5,58%","1,29",IL,"5,01%","1,157",PAN,"2,41%",556,L,"1,40%",323,CDS-PP,"0,91%",210,PCTP/MRPP,"0,68%",157,R.I.R.,"0,32%",73,ADN,"0,25%",58,MPT,"0,13%",30,NC,"0,10%",23,MAS,"0,10%",22,VP,"0,09%",20,E,"0,06%",14,PTP,"0,06%",13,JPP,"0,03%",8,,,,,,,,,
Vermelha,PS,"45,55%",292,PPD/PSD,"31,20%",200,CH,"6,08%",39,IL,"3,74%",24,B.E.,"2,50%",16,PCP-PEV,"2,18%",14,CDS-PP,"1,56%",10,L,"1,56%",10,PAN,"0,94%",6,ADN,"0,78%",5,R.I.R.,"0,62%",4,MAS,"0,16%",1,NC,"0,16%",1,PCTP/MRPP,"0,16%",1,A,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,,,,,,,,,
Loivos do Monte,PS,"45,56%",77,PPD/PSD,"44,97%",76,B.E.,"1,78%",3,CDS-PP,"1,78%",3,CH,"1,78%",3,PCP-PEV,"1,78%",3,E,"0,59%",1,A,"0,00%",0,ADN,"0,00%",0,IL,"0,00%",0,JPP,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,,,,,,,,,
Pussos São Pedro,PPD/PSD,"45,57%",406,PS,"29,52%",263,CH,"12,57%",112,B.E.,"3,25%",29,CDS-PP,"2,36%",21,IL,"1,80%",16,PCP-PEV,"0,79%",7,L,"0,67%",6,PAN,"0,67%",6,R.I.R.,"0,45%",4,ADN,"0,22%",2,E,"0,11%",1,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,01%",9,NULOS,"1,01%",9,,,,,,,,,
Várzea – Arouca,PPD/PSD,"45,57%",139,PS,"35,41%",108,CH,"5,25%",16,IL,"2,62%",8,CDS-PP,"2,30%",7,B.E.,"1,64%",5,PCP-PEV,"1,64%",5,R.I.R.,"1,31%",4,PCTP/MRPP,"0,66%",2,L,"0,33%",1,PAN,"0,33%",1,ADN,"0,00%",0,E,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,30%",7,NULOS,"0,66%",2,,,,,,,,,
União das freguesias de Castelãos e Vilar do Monte,PPD/PSD,"45,58%",103,PS,"32,74%",74,CH,"8,41%",19,CDS-PP,"5,31%",12,B.E.,"1,77%",4,R.I.R.,"1,77%",4,IL,"1,33%",3,E,"0,88%",2,PCP-PEV,"0,88%",2,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,EMBRANCO,"0,88%",2,NULOS,"0,44%",1,,,,,,,,,,,,,,,,,,,,,
